date,positive,created_utc
2020-01-02,0.47679835559999995,2
2020-01-03,,0
2020-01-04,,0
2020-01-05,,0
2020-01-06,,0
2020-01-07,0.4214074016,2
2020-01-08,,0
2020-01-09,,0
2020-01-10,,0
2020-01-11,,0
2020-01-12,,0
2020-01-13,,0
2020-01-14,,0
2020-01-15,0.09666675329999996,2
2020-01-16,0.8310152292,2
2020-01-17,,0
2020-01-18,,0
2020-01-19,,0
2020-01-20,,0
2020-01-21,0.4312183857,4
2020-01-22,0.06686657669999996,2
2020-01-23,0.10207974909999995,4
2020-01-24,0.5599656105,2
2020-01-25,,0
2020-01-26,,0
2020-01-27,0.2602840364,4
2020-01-28,0.64799302815,4
2020-01-29,,0
2020-01-30,,0
2020-01-31,,0
2020-02-01,0.5237708092,2
2020-02-02,,0
2020-02-03,,0
2020-02-04,,0
2020-02-05,0.43231862779999997,2
2020-02-06,,0
2020-02-07,0.0051314831000000005,2
2020-02-08,,0
2020-02-09,,0
2020-02-10,0.1326346993333333,6
2020-02-11,0.37397368252499996,8
2020-02-12,0.36760367797692306,26
2020-02-13,0.5383195380333335,24
2020-02-14,0.23539601565999999,10
2020-02-15,,0
2020-02-16,,0
2020-02-17,0.321569889775,8
2020-02-18,0.2222667933,2
2020-02-19,0.52912035585,4
2020-02-20,,0
2020-02-21,0.3922476172,2
2020-02-22,,0
2020-02-23,0.31881046299999993,2
2020-02-24,,0
2020-02-25,0.06379339099999992,4
2020-02-26,,0
2020-02-27,0.49674373865,4
2020-02-28,,0
2020-02-29,,0
2020-03-01,,0
2020-03-02,,0
2020-03-03,,0
2020-03-04,,0
2020-03-05,,0
2020-03-06,,0
2020-03-07,0.4214038849,2
2020-03-08,,0
2020-03-09,0.174987793,2
2020-03-10,,0
2020-03-11,0.5171285868000001,2
2020-03-12,0.48642706869999996,2
2020-03-13,0.08399277929999993,2
2020-03-14,,0
2020-03-15,,0
2020-03-16,,0
2020-03-17,,0
2020-03-18,,0
2020-03-19,,0
2020-03-20,,0
2020-03-21,,0
2020-03-22,,0
2020-03-23,,0
2020-03-24,,0
2020-03-25,0.5337327719,2
2020-03-26,0.11401927469999995,2
2020-03-27,,0
2020-03-28,,0
2020-03-29,,0
2020-03-30,,0
2020-03-31,,0
2020-04-01,,0
2020-04-02,,0
2020-04-03,,0
2020-04-04,,0
2020-04-05,,0
2020-04-06,,0
2020-04-07,,0
2020-04-08,,0
2020-04-09,,0
2020-04-10,,0
2020-04-11,,0
2020-04-12,,0
2020-04-13,0.4435610969999999,6
2020-04-14,,0
2020-04-15,0.6280027628,4
2020-04-16,,0
2020-04-17,,0
2020-04-18,0.6229838729,2
2020-04-19,0.06865155699999992,2
2020-04-20,0.5429117282333333,6
2020-04-21,,0
2020-04-22,,0
2020-04-23,,0
2020-04-24,,0
2020-04-25,,0
2020-04-26,,0
2020-04-27,,0
2020-04-28,,0
2020-04-29,0.502807498,2
2020-04-30,0.4770007729666667,6
2020-05-01,,0
2020-05-02,,0
2020-05-03,,0
2020-05-04,,0
2020-05-05,,0
2020-05-06,0.5039517283,2
2020-05-07,0.27102361619999993,8
2020-05-08,0.1838174660666666,6
2020-05-09,0.2611422737333333,6
2020-05-10,0.30037143829999996,4
2020-05-11,0.39945713676666655,12
2020-05-12,0.31502623740769226,26
2020-05-13,0.29579257966666667,6
2020-05-14,0.34342080354000004,10
2020-05-15,0.3958432078333334,12
2020-05-16,0.458655417,2
2020-05-17,0.15152859689999998,2
2020-05-18,0.47212514083333346,30
2020-05-19,0.31622784584999997,16
2020-05-20,0.2831533288959999,50
2020-05-21,0.4417282903764705,34
2020-05-22,0.5006677508499999,4
2020-05-23,,0
2020-05-24,0.13891896604999993,4
2020-05-25,,0
2020-05-26,0.3172225505125,16
2020-05-27,0.31326615809999997,4
2020-05-28,0.34841319919999997,4
2020-05-29,0.30181353888,30
2020-05-30,0.084215343,2
2020-05-31,,0
2020-06-01,0.23699244854999996,4
2020-06-02,0.28904616087499996,16
2020-06-03,0.1459105134,10
2020-06-04,0.3747925162,2
2020-06-05,0.39485675099999995,2
2020-06-06,,0
2020-06-07,,0
2020-06-08,0.25837320089999993,4
2020-06-09,0.6756991744,2
2020-06-10,0.29736120999999993,8
2020-06-11,,0
2020-06-12,,0
2020-06-13,,0
2020-06-14,,0
2020-06-15,0.2839588523,4
2020-06-16,0.39644688370000003,4
2020-06-17,0.42508816720000003,4
2020-06-18,,0
2020-06-19,,0
2020-06-20,0.2907638549999999,2
2020-06-21,,0
2020-06-22,0.1584913135,2
2020-06-23,0.32678234579999993,6
2020-06-24,,0
2020-06-25,0.44680377839999996,4
2020-06-26,,0
2020-06-27,,0
2020-06-28,,0
2020-06-29,0.4458084106,2
2020-06-30,0.46662646529999996,4
2020-07-01,0.65053364635,4
2020-07-02,0.4676496585,6
2020-07-03,0.2817894219999999,2
2020-07-04,0.6107051373,2
2020-07-05,,0
2020-07-06,0.23761700731428576,14
2020-07-07,0.3949424267,10
2020-07-08,0.43362682516363654,22
2020-07-09,0.4098645526391305,46
2020-07-10,0.4651750723416666,24
2020-07-11,,0
2020-07-12,0.38650315999999996,6
2020-07-13,0.1380852262,6
2020-07-14,0.29515740274999996,8
2020-07-15,0.43007558579999994,2
2020-07-16,0.1943272948,2
2020-07-17,0.2943873802666666,6
2020-07-18,0.30164176229999995,2
2020-07-19,0.2767426371999999,2
2020-07-20,0.45273837445,4
2020-07-21,0.3941950798,8
2020-07-22,0.22071117159999992,4
2020-07-23,0.6050722003,2
2020-07-24,,0
2020-07-25,,0
2020-07-26,,0
2020-07-27,,0
2020-07-28,,0
2020-07-29,,0
2020-07-30,0.1544939876,2
2020-07-31,0.005631327599999958,2
2020-08-01,0.3294340372,2
2020-08-02,,0
2020-08-03,,0
2020-08-04,0.06172174219999993,2
2020-08-05,0.38451589855714285,14
2020-08-06,0.5451345443333334,6
2020-08-07,0.3264968735571428,14
2020-08-08,0.397947371,2
2020-08-09,0.2495904565,2
2020-08-10,0.15206558506666668,12
2020-08-11,0.5535165668,2
2020-08-12,0.43900924922,10
2020-08-13,0.41501201691249995,16
2020-08-14,0.4178461432,2
2020-08-15,0.5331526100750001,8
2020-08-16,0.6955030560000001,2
2020-08-17,0.29915105104999995,20
2020-08-18,0.33880113811249996,16
2020-08-19,0.5700582776714287,14
2020-08-20,0.24965473738181806,22
2020-08-21,0.24102590085999998,10
2020-08-22,,0
2020-08-23,0.46692574025,4
2020-08-24,0.4063055780333332,18
2020-08-25,0.3769708540555556,18
2020-08-26,0.472861299925,24
2020-08-27,,0
2020-08-28,0.32456078136666666,6
2020-08-29,,0
2020-08-30,0.5122901052250001,8
2020-08-31,0.5085551023399999,10
2020-09-01,0.48064325254999996,12
2020-09-02,0.2036154866,4
2020-09-03,0.5608866214666666,6
2020-09-04,,0
2020-09-05,0.25173330309999997,2
2020-09-06,,0
2020-09-07,,0
2020-09-08,0.08026254179999992,2
2020-09-09,0.04734313489999997,2
2020-09-10,,0
2020-09-11,,0
2020-09-12,0.4325013757,2
2020-09-13,,0
2020-09-14,0.4383069277,2
2020-09-15,0.3018147944999999,2
2020-09-16,0.5349027514,2
2020-09-17,0.500179708,2
2020-09-18,0.25562620159999994,2
2020-09-19,,0
2020-09-20,,0
2020-09-21,,0
2020-09-22,,0
2020-09-23,0.3791744709,2
2020-09-24,,0
2020-09-25,,0
2020-09-26,,0
2020-09-27,,0
2020-09-28,0.35359001160000003,2
2020-09-29,,0
2020-09-30,0.4679558277142856,14
2020-10-01,0.45649331809999993,2
2020-10-02,0.22894600035,4
2020-10-03,,0
2020-10-04,,0
2020-10-05,0.41043037174999997,4
2020-10-06,0.512052685025,8
2020-10-07,0.36954204739999996,8
2020-10-08,0.10595321660000001,2
2020-10-09,,0
2020-10-10,,0
2020-10-11,0.01799023150000001,2
2020-10-12,0.54904297588,10
2020-10-13,0.3355976343,2
2020-10-14,0.5184175372000001,2
2020-10-15,0.5684100786833334,12
2020-10-16,0.4342604014666667,18
2020-10-17,,0
2020-10-18,,0
2020-10-19,0.3827620745,2
2020-10-20,0.5459893942,4
2020-10-21,0.027723133600000005,2
2020-10-22,0.665255785,2
2020-10-23,0.47976316509999994,8
2020-10-24,,0
2020-10-25,,0
2020-10-26,0.36426541805999996,10
2020-10-27,0.3014784057666666,6
2020-10-28,0.3926656246,2
2020-10-29,0.3941447536,6
2020-10-30,0.46177092195,4
2020-10-31,0.41224557159999997,2
2020-11-01,,0
2020-11-02,0.25618034603333334,6
2020-11-03,0.2057985988545454,22
2020-11-04,0.3004067625428571,14
2020-11-05,,0
2020-11-06,0.18975245949999997,4
2020-11-07,0.5718051195333334,6
2020-11-08,0.6749051809000001,2
2020-11-09,0.43996717035,8
2020-11-10,0.30805770346315786,38
2020-11-11,0.4518661749999999,38
2020-11-12,0.31349935754999997,32
2020-11-13,0.40873954296000015,30
2020-11-14,0.5338845253,4
2020-11-15,,0
2020-11-16,0.4668434614499999,44
2020-11-17,0.27499679848124997,32
2020-11-18,0.39074341953000014,40
2020-11-19,0.2839252485166668,36
2020-11-20,0.3341157929288462,104
2020-11-21,0.4689322262749999,8
2020-11-22,0.4986235754714285,14
2020-11-23,0.3156289352333334,90
2020-11-24,0.3737856956078431,102
2020-11-25,0.3647748686111109,126
2020-11-26,0.6115780075666667,12
2020-11-27,0.3207243464090909,22
2020-11-28,0.5190536976,4
2020-11-29,,0
2020-11-30,0.13691065907999997,20
2020-12-01,0.4146128297,12
2020-12-02,0.24799393413999998,10
2020-12-03,0.21807167529999996,10
2020-12-04,0.22085899113333327,6
2020-12-05,0.6035799980500001,4
2020-12-06,0.39668875933333325,6
2020-12-07,0.3169549812090909,22
2020-12-08,0.31069126722499996,8
2020-12-09,0.4260085821,4
2020-12-10,0.3463453452,6
2020-12-11,0.5053726554000002,10
2020-12-12,,0
2020-12-13,,0
2020-12-14,0.17236053942499996,8
2020-12-15,0.31052405636666663,12
2020-12-16,0.5235822051833333,24
2020-12-17,0.4145442346833333,12
2020-12-18,0.06635987759999995,2
2020-12-19,0.18935659529999993,4
2020-12-20,0.3028129935,2
2020-12-21,0.47908714415,4
2020-12-22,0.16243155799999995,6
2020-12-23,0.5248023967166667,12
2020-12-24,0.3414873186759998,150
2020-12-25,0.4904427474181819,22
2020-12-26,0.39534102678000005,10
2020-12-27,0.42781016561111124,18
2020-12-28,0.3810781079634916,126
2020-12-29,0.38793835142833355,120
2020-12-30,0.4234930529787878,66
2020-12-31,0.3970851131857142,14
2021-01-01,0.5320767044799999,10
2021-01-02,0.5627171695500001,4
2021-01-03,0.56218126415,4
2021-01-04,0.38830502827777774,18
2021-01-05,0.3808387155043478,46
2021-01-06,0.4027477755038463,52
2021-01-07,0.3300910634785715,28
2021-01-08,0.22042025725333325,30
2021-01-09,,0
2021-01-10,0.5116150081249999,8
2021-01-11,0.4355165192142856,14
2021-01-12,0.29908281559999994,2
2021-01-13,0.4983221178904761,42
2021-01-14,0.23605254292499994,16
2021-01-15,0.362831979975,16
2021-01-16,,0
2021-01-17,0.3884484172,2
