date_week,positive,created_utc
2019-12-30,0.47679835559999995,2
2020-01-06,0.4214074016,2
2020-01-13,0.46384099125,4
2020-01-20,0.2767495662,16
2020-01-27,0.6065856218333333,6
2020-02-03,0.16707084177999998,10
2020-02-10,0.3999430694105263,76
2020-02-17,0.39831311704,10
2020-02-24,0.28026856482499996,8
2020-03-02,0.29819583895,4
2020-03-09,0.36251614493333334,6
2020-03-16,,0
2020-03-23,0.3238760233,4
2020-03-30,,0
2020-04-06,0.4435610969999999,6
2020-04-13,0.5109108771714286,14
2020-04-20,,0
2020-04-27,0.48345245422500005,8
2020-05-04,0.3116005847210525,38
2020-05-11,0.38106689128181814,88
2020-05-18,0.3406890807296294,108
2020-05-25,0.29821808140000017,60
2020-06-01,0.25460691311764705,34
2020-06-08,0.34758024557142864,14
2020-06-15,0.3487208783833333,12
2020-06-22,0.3866271674666666,12
2020-06-29,0.38706767558125,32
2020-07-06,0.409251893819298,114
2020-07-13,0.32092736775384617,26
2020-07-20,0.3747535518142858,14
2020-07-27,0.16318645079999997,6
2020-08-03,0.31669792761153837,52
2020-08-10,0.41020430327333346,60
2020-08-17,0.36292262730714286,84
2020-08-24,0.4434148958272727,66
2020-08-31,0.43545697133333333,24
2020-09-07,0.24960349502499998,8
2020-09-14,0.39813086387499996,8
2020-09-21,0.3663822412500001,4
2020-09-28,0.4175780713583333,24
2020-10-05,0.4263691504799999,30
2020-10-12,0.4753100739611111,36
2020-10-19,0.4250259582846153,26
2020-10-26,0.35260488894615377,26
2020-11-02,0.31772593089642853,56
2020-11-09,0.39703184686559156,186
2020-11-16,0.3349931413012346,324
2020-11-23,0.3611785807020975,286
2020-11-30,0.32469465903428574,70
2020-12-07,0.3527846501888888,36
2020-12-14,0.41131521861666687,60
2020-12-21,0.3748688697831399,344
2020-12-28,0.41047536670000034,236
2021-01-04,0.36239760712584257,178
2021-01-11,0.4088044074794871,78
