date,positive,created_utc
2020-01-01,0.18053668739999995,2
2020-01-02,0.24098563194999995,4
2020-01-03,0.2753233314,2
2020-01-04,,0
2020-01-05,,0
2020-01-06,,0
2020-01-07,,0
2020-01-08,0.18680167199999997,2
2020-01-09,0.2980043888,2
2020-01-10,0.9067364931,2
2020-01-11,,0
2020-01-12,0.7535375357,2
2020-01-13,,0
2020-01-14,0.5770352334,8
2020-01-15,0.13324024847142854,14
2020-01-16,0.3170276284,2
2020-01-17,0.0551587939,2
2020-01-18,,0
2020-01-19,,0
2020-01-20,0.6358596087,2
2020-01-21,0.5930504799,2
2020-01-22,0.2154687047,2
2020-01-23,,0
2020-01-24,,0
2020-01-25,,0
2020-01-26,,0
2020-01-27,0.13088124989999994,2
2020-01-28,0.6940406859,4
2020-01-29,0.21061065795,4
2020-01-30,,0
2020-01-31,,0
2020-02-01,0.3235613704,4
2020-02-02,,0
2020-02-03,0.15676623582,10
2020-02-04,0.35236227512272733,44
2020-02-05,0.23824433846363632,22
2020-02-06,0.23705409765999996,10
2020-02-07,0.27476838828,10
2020-02-08,0.470647037,2
2020-02-09,,0
2020-02-10,0.44435133934,10
2020-02-11,0.4241850078,4
2020-02-12,0.5326392651,2
2020-02-13,0.19318481286666658,6
2020-02-14,,0
2020-02-15,,0
2020-02-16,0.13134038449999996,2
2020-02-17,,0
2020-02-18,0.23783040049999993,2
2020-02-19,0.4282172282399999,30
2020-02-20,0.43850836752,10
2020-02-21,0.3683204055,4
2020-02-22,,0
2020-02-23,,0
2020-02-24,0.6345737576,2
2020-02-25,0.35446724294,20
2020-02-26,0.22930874066363624,22
2020-02-27,0.32768158116666674,12
2020-02-28,0.445323893,14
2020-02-29,0.09058758614999995,4
2020-03-01,0.41386362909999996,4
2020-03-02,0.3758336040444445,18
2020-03-03,0.6699194908,2
2020-03-04,0.23039886354999994,4
2020-03-05,0.34379816055999995,10
2020-03-06,0.3360385569727273,22
2020-03-07,0.20434248449999992,2
2020-03-08,0.23146619398333332,12
2020-03-09,0.2417538563416667,24
2020-03-10,0.3190194606719999,50
2020-03-11,0.2514076169071428,56
2020-03-12,0.29166125233536583,164
2020-03-13,0.24182904683269232,104
2020-03-14,0.24645081164999996,8
2020-03-15,0.28480103412666663,30
2020-03-16,0.24255569349761905,84
2020-03-17,0.31015361633571414,28
2020-03-18,0.3106378625275863,58
2020-03-19,,0
