date,positive,created_utc
2020-01-03,0.3061583042,2
2020-01-04,,0
2020-01-05,,0
2020-01-06,,0
2020-01-07,,0
2020-01-08,,0
2020-01-09,,0
2020-01-10,,0
2020-01-11,,0
2020-01-12,,0
2020-01-13,,0
2020-01-14,0.5534558296000001,2
2020-01-15,,0
2020-01-16,,0
2020-01-17,,0
2020-01-18,,0
2020-01-19,,0
2020-01-20,,0
2020-01-21,0.13283449409999992,2
2020-01-22,0.42946070429999994,2
2020-01-23,,0
2020-01-24,0.5647240877,2
2020-01-25,,0
2020-01-26,,0
2020-01-27,,0
2020-01-28,,0
2020-01-29,,0
2020-01-30,,0
2020-01-31,,0
2020-02-01,,0
2020-02-02,,0
2020-02-03,,0
2020-02-04,,0
2020-02-05,,0
2020-02-06,,0
2020-02-07,0.7657182813000001,2
2020-02-08,,0
2020-02-09,,0
2020-02-10,,0
2020-02-11,,0
2020-02-12,0.03972029690000001,2
2020-02-13,,0
2020-02-14,,0
2020-02-15,,0
2020-02-16,0.42734217639999994,2
2020-02-17,,0
2020-02-18,,0
2020-02-19,,0
2020-02-20,,0
2020-02-21,,0
2020-02-22,,0
2020-02-23,,0
2020-02-24,,0
2020-02-25,,0
2020-02-26,0.2573286096333333,6
2020-02-27,,0
2020-02-28,0.8705071211000001,2
2020-02-29,,0
2020-03-01,,0
2020-03-02,0.45897253750000006,10
2020-03-03,,0
2020-03-04,,0
2020-03-05,,0
2020-03-06,,0
2020-03-07,,0
2020-03-08,,0
2020-03-09,,0
2020-03-10,,0
2020-03-11,,0
2020-03-12,0.4583770037,2
2020-03-13,,0
2020-03-14,,0
2020-03-15,,0
2020-03-16,,0
2020-03-17,,0
2020-03-18,,0
2020-03-19,,0
2020-03-20,,0
2020-03-21,,0
2020-03-22,,0
2020-03-23,0.01986306910000002,2
2020-03-24,,0
2020-03-25,,0
2020-03-26,,0
2020-03-27,,0
2020-03-28,,0
2020-03-29,,0
2020-03-30,,0
2020-03-31,,0
2020-04-01,,0
2020-04-02,,0
2020-04-03,,0
2020-04-04,,0
2020-04-05,,0
2020-04-06,,0
2020-04-07,0.5670047998000001,2
2020-04-08,,0
2020-04-09,,0
2020-04-10,0.6242677569,2
2020-04-11,,0
2020-04-12,,0
2020-04-13,0.26523679489999996,2
2020-04-14,,0
2020-04-15,,0
2020-04-16,,0
2020-04-17,,0
2020-04-18,0.35479480029999994,4
2020-04-19,,0
2020-04-20,0.50343209505,4
2020-04-21,0.2353762947062501,32
2020-04-22,0.314504385,8
2020-04-23,,0
2020-04-24,,0
2020-04-25,,0
2020-04-26,,0
2020-04-27,,0
2020-04-28,,0
2020-04-29,0.3855279088,2
2020-04-30,,0
2020-05-01,,0
2020-05-02,,0
2020-05-03,,0
2020-05-04,,0
2020-05-05,,0
2020-05-06,,0
2020-05-07,,0
2020-05-08,,0
2020-05-09,,0
2020-05-10,,0
2020-05-11,,0
2020-05-12,,0
2020-05-13,,0
2020-05-14,,0
2020-05-15,,0
2020-05-16,0.4038851857,2
2020-05-17,,0
2020-05-18,,0
2020-05-19,,0
2020-05-20,0.6695204377,2
2020-05-21,0.5225952268,2
2020-05-22,,0
2020-05-23,,0
2020-05-24,,0
2020-05-25,,0
2020-05-26,0.3686236143,2
2020-05-27,0.028481096049999932,4
2020-05-28,0.5649391413,2
2020-05-29,,0
2020-05-30,,0
2020-05-31,,0
2020-06-01,,0
2020-06-02,,0
2020-06-03,,0
2020-06-04,,0
2020-06-05,,0
2020-06-06,,0
2020-06-07,,0
2020-06-08,,0
2020-06-09,,0
2020-06-10,0.47056752439999994,2
2020-06-11,,0
2020-06-12,,0
2020-06-13,,0
2020-06-14,,0
2020-06-15,0.4013770819,2
2020-06-16,0.2886318564,2
2020-06-17,,0
2020-06-18,,0
2020-06-19,,0
2020-06-20,,0
2020-06-21,,0
2020-06-22,,0
2020-06-23,,0
2020-06-24,,0
2020-06-25,,0
2020-06-26,,0
2020-06-27,,0
2020-06-28,0.46092724799999996,2
2020-06-29,,0
2020-06-30,,0
2020-07-01,0.7585674524,2
2020-07-02,,0
2020-07-03,,0
2020-07-04,,0
2020-07-05,0.029308676699999925,2
2020-07-06,,0
2020-07-07,0.39852043989999997,4
2020-07-08,0.1712217331,2
2020-07-09,0.5711851716,2
2020-07-10,,0
2020-07-11,,0
2020-07-12,,0
2020-07-13,,0
2020-07-14,0.3658000230999999,2
2020-07-15,0.18401609362499996,8
2020-07-16,0.2556319769,56
2020-07-17,0.10238918662499996,8
2020-07-18,,0
2020-07-19,,0
2020-07-20,0.06496587394999997,4
2020-07-21,0.10096144679999997,2
2020-07-22,,0
2020-07-23,0.6386753321,2
2020-07-24,,0
2020-07-25,,0
2020-07-26,,0
2020-07-27,,0
2020-07-28,,0
2020-07-29,,0
2020-07-30,,0
2020-07-31,,0
2020-08-01,,0
2020-08-02,0.5764920712,2
2020-08-03,,0
2020-08-04,,0
2020-08-05,,0
2020-08-06,0.5675147772,2
