date,positive,created_utc
2020-01-07,0.2649664879,6
2020-01-08,,0
2020-01-09,,0
2020-01-10,,0
2020-01-11,,0
2020-01-12,,0
2020-01-13,,0
2020-01-14,,0
2020-01-15,,0
2020-01-16,,0
2020-01-17,,0
2020-01-18,,0
2020-01-19,,0
2020-01-20,,0
2020-01-21,,0
2020-01-22,,0
2020-01-23,0.7368341684,2
2020-01-24,,0
2020-01-25,,0
2020-01-26,,0
2020-01-27,,0
2020-01-28,0.6640301347,2
2020-01-29,,0
2020-01-30,,0
2020-01-31,,0
2020-02-01,,0
2020-02-02,,0
2020-02-03,,0
2020-02-04,0.24703198669999993,2
2020-02-05,0.11815816164999998,4
2020-02-06,0.37500870229999994,2
2020-02-07,,0
2020-02-08,,0
2020-02-09,,0
2020-02-10,0.1713473796499999,4
2020-02-11,0.289738103725,8
2020-02-12,0.36572045090000005,4
2020-02-13,0.5262912869399998,10
2020-02-14,,0
2020-02-15,,0
2020-02-16,0.4671742916,2
2020-02-17,,0
2020-02-18,0.60409241915,4
2020-02-19,0.2922061031545455,22
2020-02-20,0.47738032045,8
2020-02-21,0.39658632875,4
2020-02-22,,0
2020-02-23,,0
2020-02-24,,0
2020-02-25,0.18802767990000002,2
2020-02-26,0.01061183209999994,2
2020-02-27,0.2931820154,2
2020-02-28,0.26702904699999996,2
2020-02-29,0.48713439699999994,2
2020-03-01,,0
2020-03-02,,0
2020-03-03,0.006598830199999961,2
2020-03-04,0.44986516239999996,2
2020-03-05,,0
2020-03-06,,0
2020-03-07,,0
2020-03-08,,0
2020-03-09,0.46152225135,4
2020-03-10,,0
2020-03-11,,0
2020-03-12,0.6250163317,2
2020-03-13,0.35455739499999994,2
2020-03-14,0.6046025753000001,2
2020-03-15,,0
2020-03-16,,0
2020-03-17,,0
2020-03-18,0.55043673515,4
2020-03-19,,0
2020-03-20,0.10041463379999993,2
2020-03-21,0.5559232235,2
2020-03-22,,0
2020-03-23,,0
2020-03-24,0.47215330599999994,4
2020-03-25,,0
2020-03-26,,0
2020-03-27,,0
2020-03-28,,0
2020-03-29,0.9032729864,2
2020-03-30,,0
2020-03-31,0.5794920325,2
2020-04-01,0.009302079699999966,2
2020-04-02,,0
2020-04-03,0.006209015799999995,2
2020-04-04,,0
2020-04-05,,0
2020-04-06,0.5116749405500001,4
2020-04-07,,0
2020-04-08,,0
2020-04-09,,0
2020-04-10,0.5699504018,2
2020-04-11,,0
2020-04-12,0.5186979771,2
2020-04-13,,0
2020-04-14,0.40789294239999996,4
2020-04-15,,0
2020-04-16,0.34771953026666663,6
2020-04-17,0.2019715905,6
2020-04-18,0.6071153283,2
2020-04-19,0.4886189699,4
2020-04-20,0.4592313965333334,6
2020-04-21,0.362274309,6
2020-04-22,0.3690794507666666,6
2020-04-23,0.09032243489999991,2
2020-04-24,0.4584869146,2
2020-04-25,,0
2020-04-26,,0
2020-04-27,0.2058685223333333,6
2020-04-28,,0
2020-04-29,,0
2020-04-30,,0
2020-05-01,0.005391836199999944,2
2020-05-02,,0
2020-05-03,,0
2020-05-04,0.19463920589999995,2
2020-05-05,,0
2020-05-06,0.36301014819999994,6
2020-05-07,0.2664724587999999,2
2020-05-08,0.7337665558,2
2020-05-09,0.531180352,4
2020-05-10,0.004882872099999935,2
2020-05-11,0.3142471909399999,10
2020-05-12,0.43782191475000004,12
2020-05-13,0.03507527709999991,4
2020-05-14,0.5599929094,2
2020-05-15,0.25697490572500004,8
2020-05-16,0.49758942920000004,6
2020-05-17,,0
2020-05-18,0.34685424566,10
2020-05-19,0.23585971764285715,14
2020-05-20,0.2310077548,6
2020-05-21,0.32596478717857147,28
2020-05-22,,0
2020-05-23,0.34500741960000003,2
2020-05-24,,0
2020-05-25,,0
2020-05-26,0.4646201134,2
2020-05-27,0.31543490295,4
2020-05-28,0.33315616847499996,8
2020-05-29,,0
2020-05-30,,0
2020-05-31,,0
2020-06-01,0.5809304118,2
2020-06-02,0.2669042547666667,6
2020-06-03,0.5255929828,2
2020-06-04,,0
2020-06-05,,0
2020-06-06,,0
2020-06-07,0.4821223617,2
2020-06-08,0.14728373289999996,4
2020-06-09,0.5416012406,2
2020-06-10,0.43443527814999994,4
2020-06-11,0.2522978187,2
2020-06-12,,0
2020-06-13,,0
2020-06-14,,0
2020-06-15,0.1638281345,2
2020-06-16,0.49271875619999994,2
2020-06-17,0.37628436085,4
2020-06-18,0.19989532229999996,2
2020-06-19,0.06670826669999996,2
2020-06-20,,0
2020-06-21,,0
2020-06-22,0.35048459470000004,8
2020-06-23,0.6098835617500001,8
2020-06-24,0.19418799874999998,4
2020-06-25,0.37396132949999994,2
2020-06-26,,0
2020-06-27,0.3506173491,2
2020-06-28,0.5604042411,2
2020-06-29,0.6415174007000001,2
2020-06-30,,0
2020-07-01,0.28372025489999997,2
2020-07-02,0.24607175589999997,2
2020-07-03,0.5038089156000001,2
2020-07-04,0.32515376809999996,2
2020-07-05,,0
2020-07-06,0.4057403802999999,2
2020-07-07,0.42433282735,4
2020-07-08,0.3802853823,2
2020-07-09,0.44685062766666667,12
2020-07-10,0.3421976566499999,4
2020-07-11,,0
2020-07-12,0.34375625849999997,4
2020-07-13,0.43080800775,4
2020-07-14,0.5781625509333334,6
2020-07-15,0.51135912535,4
2020-07-16,,0
2020-07-17,,0
2020-07-18,0.42409610749999993,2
2020-07-19,,0
2020-07-20,,0
2020-07-21,0.40956041215000005,4
2020-07-22,0.012918710699999947,2
2020-07-23,0.5539281368,2
2020-07-24,0.15168797969999998,4
2020-07-25,0.5131608844000001,2
2020-07-26,0.4730034471,2
2020-07-27,0.26587823034999997,4
2020-07-28,0.20639592409999996,4
2020-07-29,,0
2020-07-30,0.2677321732,4
2020-07-31,0.08431452514999999,4
2020-08-01,0.08290493489999995,2
2020-08-02,,0
2020-08-03,,0
2020-08-04,0.23375254869999995,2
2020-08-05,0.3770218094333333,6
2020-08-06,0.5084163547,2
2020-08-07,0.41028180717499996,8
2020-08-08,0.4141609668999999,2
2020-08-09,,0
2020-08-10,,0
2020-08-11,,0
2020-08-12,0.47185644931428566,14
2020-08-13,0.29436266424999996,4
2020-08-14,0.54941401482,10
2020-08-15,0.44945940375,4
2020-08-16,0.4753862619,2
2020-08-17,0.25654267072666664,30
2020-08-18,0.1911068625111111,18
2020-08-19,0.27885980606,50
2020-08-20,0.3899427056230768,26
2020-08-21,0.37775291033428565,70
2020-08-22,0.481264472,2
2020-08-23,0.41900316478,10
2020-08-24,0.24643539719999996,18
2020-08-25,0.4052618940666666,12
2020-08-26,0.39144173266666654,12
2020-08-27,0.23633241649999992,2
2020-08-28,0.344480931748,50
2020-08-29,0.3382614553,4
2020-08-30,0.5250348846,6
2020-08-31,0.4032655209299999,40
2020-09-01,0.42021978412714295,140
2020-09-02,0.335338226583721,86
2020-09-03,0.3468029580409091,44
2020-09-04,0.38611730603333333,18
2020-09-05,0.50343969465,4
2020-09-06,0.37643414740000003,2
2020-09-07,0.4809454679,4
2020-09-08,0.39997528358181816,22
2020-09-09,0.6882496237800001,10
2020-09-10,,0
2020-09-11,0.27980204991428576,14
2020-09-12,0.27391962707499995,8
2020-09-13,0.6595664471500001,8
2020-09-14,0.3651328921200001,20
2020-09-15,0.3844734165333332,18
2020-09-16,0.3368470337888889,18
2020-09-17,,0
2020-09-18,0.22023230789999992,6
2020-09-19,,0
2020-09-20,,0
2020-09-21,0.22509181499999997,2
2020-09-22,0.8593627810500001,4
2020-09-23,0.18379110099999996,4
2020-09-24,0.022388160200000007,2
2020-09-25,,0
2020-09-26,,0
2020-09-27,0.5148035288,2
2020-09-28,0.6076055169333333,6
2020-09-29,0.16685700415,4
2020-09-30,0.36947568253333335,6
2020-10-01,0.18904509149999996,6
2020-10-02,0.1263856888,2
2020-10-03,,0
2020-10-04,,0
2020-10-05,0.46408253909999997,2
2020-10-06,0.37633749845000003,8
2020-10-07,0.40961492059999993,2
2020-10-08,0.35803077616666673,6
2020-10-09,0.17459449174999997,4
2020-10-10,,0
2020-10-11,0.07286560539999998,2
2020-10-12,0.49651488665,4
2020-10-13,,0
2020-10-14,0.29208615425,4
2020-10-15,,0
2020-10-16,,0
2020-10-17,,0
2020-10-18,,0
2020-10-19,,0
2020-10-20,0.06255698199999993,2
2020-10-21,0.5303546786000001,2
2020-10-22,0.13110262159999997,2
2020-10-23,,0
2020-10-24,,0
2020-10-25,,0
2020-10-26,,0
2020-10-27,,0
2020-10-28,,0
2020-10-29,,0
2020-10-30,0.39502763750000003,2
2020-10-31,,0
2020-11-01,,0
2020-11-02,0.1064566374,2
2020-11-03,,0
2020-11-04,0.6279469728,2
2020-11-05,,0
2020-11-06,0.48291125895,4
2020-11-07,,0
2020-11-08,,0
2020-11-09,0.29276718411428565,14
2020-11-10,0.24579373996666662,6
2020-11-11,,0
2020-11-12,,0
2020-11-13,0.477889075875,8
2020-11-14,,0
2020-11-15,,0
2020-11-16,0.5590391755,2
2020-11-17,0.5862311721,2
2020-11-18,0.33915495127499995,16
2020-11-19,0.09889245029999993,2
2020-11-20,0.2227931533571428,14
2020-11-21,,0
2020-11-22,0.5539470315,2
2020-11-23,0.3837175567999999,6
2020-11-24,0.23145984409999992,10
2020-11-25,0.03452914949999997,2
2020-11-26,,0
2020-11-27,0.33860498665,4
2020-11-28,0.5109853745,2
2020-11-29,,0
2020-11-30,0.779068172,2
2020-12-01,0.37062674760000003,2
2020-12-02,0.6832469106,2
2020-12-03,0.24381786579999998,2
2020-12-04,0.21376681324999997,4
2020-12-05,,0
2020-12-06,,0
2020-12-07,0.19180935619999995,2
2020-12-08,0.01942509409999993,2
2020-12-09,,0
2020-12-10,0.38727746905000004,8
2020-12-11,0.4643727541,2
2020-12-12,,0
2020-12-13,,0
2020-12-14,,0
2020-12-15,0.3762643536333334,6
2020-12-16,,0
2020-12-17,0.6628695726,2
2020-12-18,,0
2020-12-19,,0
2020-12-20,,0
2020-12-21,0.5106766224,4
2020-12-22,0.060595571999999986,2
2020-12-23,0.48099771145,4
2020-12-24,,0
2020-12-25,0.05364900829999997,2
2020-12-26,0.0698419213,2
2020-12-27,,0
2020-12-28,,0
2020-12-29,0.35122968756666667,6
2020-12-30,0.540217638,2
2020-12-31,,0
2021-01-01,,0
2021-01-02,,0
2021-01-03,,0
2021-01-04,0.13645943006666664,6
2021-01-05,0.5297888219,4
2021-01-06,0.33095394077499996,8
2021-01-07,0.6164926290499999,4
2021-01-08,,0
2021-01-09,0.575881958,6
2021-01-10,0.50519019365,4
2021-01-11,0.40234192213333336,6
