date_week,positive,created_utc
2019-12-30,0.34762259173076926,26
2020-01-06,0.36546943546601934,206
2020-01-13,0.48506140167000017,220
2020-01-20,0.41711630344266676,150
2020-01-27,0.3246976103685393,178
2020-02-03,0.351219470123588,602
2020-02-10,0.3825897065333337,96
2020-02-17,0.38776531181170226,188
2020-02-24,0.35136272148749986,176
2020-03-02,0.2862617297076924,78
2020-03-09,0.36813284221228093,114
2020-03-16,0.33675134267571427,140
2020-03-23,0.3941557407333332,54
2020-03-30,0.2948648184583334,96
2020-04-06,0.2987942592423078,104
2020-04-13,0.417132963877054,706
2020-04-20,0.34190901851176475,272
2020-04-27,0.3637080301481481,405
2020-05-04,0.3978292883111111,162
2020-05-11,0.3679400674546667,150
2020-05-18,0.41077003478333346,60
2020-05-25,0.39700383265319183,188
2020-06-01,0.3653091788265822,158
2020-06-08,0.4017284223028571,210
2020-06-15,0.3645875348745097,102
2020-06-22,0.3793078203488371,86
2020-06-29,0.3492245836440593,404
2020-07-06,0.35645318523301883,848
2020-07-13,0.3909662305879191,596
2020-07-20,0.37641065177483063,588
2020-07-27,0.3710494703703703,108
2020-08-03,0.40360630866829283,82
2020-08-10,0.39075633603657683,596
2020-08-17,0.35491247821512656,714
2020-08-24,0.3836603920225357,568
2020-08-31,0.37729511213007666,1044
2020-09-07,0.3798738157389433,606
2020-09-14,0.39363798975501857,538
2020-09-21,0.3985263323516861,534
2020-09-28,0.3728283744019805,202
2020-10-05,0.36231677872727264,154
2020-10-12,0.4148814035269662,178
2020-10-19,0.39747166389649113,342
2020-10-26,0.47224659741702124,94
2020-11-02,0.4304289817729729,74
2020-11-09,0.384018566874074,162
2020-11-16,0.39548533386376383,574
2020-11-23,0.43743567008928547,448
2020-11-30,0.3802047376936172,470
2020-12-07,0.3730886869609374,512
2020-12-14,0.36694193015277793,648
2020-12-21,0.3889343641882883,222
2020-12-28,0.37178278469354864,310
2021-01-04,0.38557563035025844,772
2021-01-11,0.4025921140971632,282
