date,positive,created_utc
2020-01-08,0.393422842,2
2020-01-09,,0
2020-01-10,,0
2020-01-11,,0
2020-01-12,,0
2020-01-13,0.5685867667,2
2020-01-14,,0
2020-01-15,,0
2020-01-16,0.3308607578199999,10
2020-01-17,0.03371465210000002,2
2020-01-18,,0
2020-01-19,,0
2020-01-20,0.1681680083,2
2020-01-21,,0
2020-01-22,0.41508969662499995,8
2020-01-23,0.4320994616,2
2020-01-24,0.5894932151,2
2020-01-25,0.1167504787,2
2020-01-26,,0
2020-01-27,0.5407245159,2
2020-01-28,0.3272265792,2
2020-01-29,0.36828795075,4
2020-01-30,0.5246735513,4
2020-01-31,,0
2020-02-01,0.07846510409999996,2
2020-02-02,,0
2020-02-03,0.13154512639999993,2
2020-02-04,0.31751064954999997,8
2020-02-05,0.7189359963,4
2020-02-06,0.40056852499999995,6
2020-02-07,0.11847043039999994,2
2020-02-08,0.21185722949999997,4
2020-02-09,,0
2020-02-10,,0
2020-02-11,0.1789783239,2
2020-02-12,,0
2020-02-13,0.8210637569,2
2020-02-14,0.22524911169999995,2
2020-02-15,0.09198796749999993,4
2020-02-16,,0
2020-02-17,0.18865275380000002,2
2020-02-18,0.4936150312,6
2020-02-19,0.4284892867909089,44
2020-02-20,0.34596247972499994,8
2020-02-21,0.40451163053333333,6
2020-02-22,0.14727717639999993,2
2020-02-23,,0
2020-02-24,0.05269885060000001,2
2020-02-25,0.3901197314,2
2020-02-26,0.6193169951,2
2020-02-27,0.5541854501,2
2020-02-28,0.2632697225,2
2020-02-29,0.8436055779,2
2020-03-01,0.3841527104,2
2020-03-02,,0
2020-03-03,,0
2020-03-04,0.54309503735,8
2020-03-05,,0
2020-03-06,,0
2020-03-07,,0
2020-03-08,,0
2020-03-09,,0
2020-03-10,,0
2020-03-11,0.37856352328,10
2020-03-12,,0
2020-03-13,0.5371651351500001,4
2020-03-14,,0
2020-03-15,,0
2020-03-16,0.16314651569999997,6
2020-03-17,0.1989082098,2
2020-03-18,0.23282581569999997,6
2020-03-19,,0
2020-03-20,0.2167584896,2
2020-03-21,,0
2020-03-22,,0
2020-03-23,0.07781460884999997,4
2020-03-24,,0
2020-03-25,,0
2020-03-26,0.35919296739999995,4
2020-03-27,,0
2020-03-28,,0
2020-03-29,,0
2020-03-30,0.7215252519,2
2020-03-31,0.42091631890000003,2
2020-04-01,,0
2020-04-02,,0
2020-04-03,0.8053070307,2
2020-04-04,,0
2020-04-05,,0
2020-04-06,,0
2020-04-07,0.12510752679999992,2
2020-04-08,,0
2020-04-09,,0
2020-04-10,,0
2020-04-11,0.45747184750000003,2
2020-04-12,,0
2020-04-13,,0
