date,positive,created_utc
2020-01-16,0.6617928743,2
2020-01-17,,0
2020-01-18,,0
2020-01-19,,0
2020-01-20,,0
2020-01-21,,0
2020-01-22,,0
2020-01-23,,0
2020-01-24,,0
2020-01-25,,0
2020-01-26,,0
2020-01-27,,0
2020-01-28,,0
2020-01-29,,0
2020-01-30,,0
2020-01-31,,0
2020-02-01,,0
2020-02-02,,0
2020-02-03,,0
2020-02-04,,0
2020-02-05,,0
2020-02-06,,0
2020-02-07,,0
2020-02-08,,0
2020-02-09,0.6879001856,2
2020-02-10,0.6123145222999999,4
2020-02-11,0.05390593409999994,4
2020-02-12,0.39288105566666665,6
2020-02-13,,0
2020-02-14,0.37467637654999997,4
2020-02-15,,0
2020-02-16,,0
2020-02-17,,0
2020-02-18,0.2069522619,10
2020-02-19,,0
2020-02-20,,0
2020-02-21,0.3617532452,6
2020-02-22,,0
2020-02-23,,0
2020-02-24,,0
2020-02-25,,0
2020-02-26,,0
2020-02-27,,0
2020-02-28,,0
2020-02-29,,0
2020-03-01,,0
2020-03-02,0.022029340299999922,2
2020-03-03,,0
2020-03-04,,0
2020-03-05,0.5572727919,2
2020-03-06,,0
2020-03-07,,0
2020-03-08,0.327001214,6
2020-03-09,0.06484797594999997,4
2020-03-10,0.5350216627000001,2
2020-03-11,,0
2020-03-12,0.4713124633,2
2020-03-13,0.3861998319666667,18
2020-03-14,0.09892034529999993,2
2020-03-15,0.340337261575,8
2020-03-16,0.37107214335,4
2020-03-17,0.27864706519999993,2
2020-03-18,0.30314880609999995,2
2020-03-19,0.564688623,2
2020-03-20,,0
2020-03-21,,0
2020-03-22,,0
2020-03-23,,0
2020-03-24,,0
2020-03-25,,0
2020-03-26,0.09343230719999995,2
2020-03-27,,0
2020-03-28,,0
2020-03-29,0.4783755541,2
2020-03-30,,0
2020-03-31,,0
2020-04-01,0.6249496937,2
2020-04-02,,0
2020-04-03,,0
2020-04-04,,0
2020-04-05,,0
2020-04-06,,0
2020-04-07,0.04827064279999993,2
2020-04-08,0.5457078218,2
2020-04-09,0.13796955349999995,2
2020-04-10,,0
2020-04-11,,0
2020-04-12,,0
2020-04-13,,0
2020-04-14,,0
2020-04-15,0.39086228609999996,2
2020-04-16,0.30727565290000003,2
2020-04-17,,0
2020-04-18,,0
2020-04-19,0.10616868729999995,2
2020-04-20,0.5244166255,2
2020-04-21,0.3483337164,2
2020-04-22,0.16488945479999995,2
2020-04-23,,0
2020-04-24,,0
